"FindingId","Repository","FilePath","SecretCategory","Tracked","Severity","RecommendedTreatment"
"RC0-SEC-002","backend","C:\dev\bridge-api\bridge-api\.env","Database URL","False","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-001","backend","C:\dev\bridge-api\bridge-api\.env","Environment file","False","High","Keep untracked; preserve variable names only in docs; verify values live in environment provider."
"RC0-SEC-006","backend","C:\dev\bridge-api\bridge-api\.env","Generic API key assignment","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-005","backend","C:\dev\bridge-api\bridge-api\.env","Google Maps key","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-003","backend","C:\dev\bridge-api\bridge-api\.env","Password","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-004","backend","C:\dev\bridge-api\bridge-api\.env","Token","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-008","backend","C:\dev\bridge-api\bridge-api\.env.example","Database URL","True","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-007","backend","C:\dev\bridge-api\bridge-api\.env.example","Environment file","True","High","Keep untracked; preserve variable names only in docs; verify values live in environment provider."
"RC0-SEC-012","backend","C:\dev\bridge-api\bridge-api\.env.example","Generic API key assignment","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-011","backend","C:\dev\bridge-api\bridge-api\.env.example","Google Maps key","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-009","backend","C:\dev\bridge-api\bridge-api\.env.example","Password","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-010","backend","C:\dev\bridge-api\bridge-api\.env.example","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-014","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Database URL","False","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-013","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Environment file","False","High","Keep untracked; preserve variable names only in docs; verify values live in environment provider."
"RC0-SEC-018","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Generic API key assignment","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-017","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Google Maps key","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-015","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Password","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-016","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Token","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-019","backend","C:\dev\bridge-api\bridge-api\DATABASE_MIGRATION.md","Database URL","True","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-027","backend","C:\dev\bridge-api\bridge-api\db\repositories.js","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-020","backend","C:\dev\bridge-api\bridge-api\DEPLOYMENT.md","Database URL","True","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-025","backend","C:\dev\bridge-api\bridge-api\DEPLOYMENT.md","Expo/EAS reference","True","Medium","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-024","backend","C:\dev\bridge-api\bridge-api\DEPLOYMENT.md","Generic API key assignment","True","High","Review before consolidation; keep values in provider secrets or local env only."
